kode,nama,sks,semester
08033122045,Kewirausahaan,2,5
08033142021,Pengukuran dan Perancangan Sistem Kerja,2,4
08033142025,Perilaku Organisasi,2,4
08033142027,Manajemen Pemasaran,2,4
08033241012,Praktikum Fisika,2,2
08033242013,Material Teknik,2,2
08033242014,Mekanika Teknik,2,2
08033242016,Pengantar Pengembangan Produk,2,2
08033242017,Analisis dan Pengendalian Biaya,2,2
08033242018,Proses Manufaktur I,2,2
08033242034,Perancangan Fasilitas,2,2
08033242036,Praktikum Perancangan Teknik Industri II,2,2
08033242037,Pancasila,2,2
08033242049,Perancangan Eksperimen,2,2
08033242050,Pengendalian dan Penjaminan Mutu,3,2
08033242052,Analisis dan Perancangan Sistem Informasi,2,2
08033242053,Metodologi Penelitian,2,2
08033242054,Praktikum Perancangan Teknik Industri IV,2,2
08033242056,Bahasa Indonesia,2,2
08033243010,Kalkulus II,3,2
08033243011,Fisika II,3,2
08033243029,Matematika Optimasi,3,3
08033243030,Statistika,3,3
08033243031,Riset Operasi I,3,3
08033243048,Simulasi Sistem,3,4
08033243051,Perancangan dan Manajemen Organisasi Industri,3,5
08033244032,Perencanaan dan Pengendalian Produksi,4,4
08033353002,Teori Persediaan,3,5
08033353006,Pengambilan Keputusan Kriteria Majemuk,3,5
08033353008,Manufaktur Cerdas,3,5
08033353016,Aplikasi Ergonomi Industri,3,5
08033353023,Analisis Komparasi Kuantitatif,3,5
08033353042,Manajemen Rantai Pasok yang Berkelanjutan,3,5
08033353046,Manufaktur Komposit Alam,3,5
08033353049,Rekayasa Balik dan Manufaktur Aditif,3,5
